"Paperback | 40 pages","228.6 x 304.8 x 2.54mm | 22.68g","01 Mar 2001","Alfred Music",,"United States",English,,,,0757904769,9780757904769,
"Paperback | 44 pages","228.6 x 304.8 x 5.08mm | 45.36g","01 Mar 1985","Alfred Music",,"United States",English,,,,0757925308,9780757925306,
"Paperback | 148 pages",,"17 Jun 1981","Kluwer Law International",,"Zuidpoolsingel Netherlands",English,,,,9065440054,9789065440051,
"Hardback | 148 pages",,"01 Nov 1981","Kluwer Fiscale en FinancieleThe Netherlands",,Netherlands,English,,,,9020006290,9789020006292,
"Paperback | 288 pages","140 x 220mm","01 Apr 1983","Marion Boyars Publishers Ltd",,"London United Kingdom",English,,,,071452722X,9780714527222,
"Hardback | 640 pages",,"18 Aug 2016","Bloomsbury Publishing PLC","Continuum International Publishing Group Ltd.","London United Kingdom",English,,,,0567031594,9780567031594,1842566
"Paperback | 127 pages",,"20 Dec 2002","European Agency for Safety and Health at Work",,"Bilbao Spain",English,,,figs.tabs.,9291910090,9789291910090,
"Paperback | 180 pages",,"30 Apr 2002","SPIE Press",,"Bellingham United States",English,,,,0819443530,9780819443533,
"Hardback | 669 pages","155 x 235mm","24 Jul 2016","Springer International Publishing AG",,"Cham Switzerland",English,,"2017 ed.","19 black &amp; white illustrations 149 colour illustrations biography",3319015826,9783319015828,
"Paperback | 72 pages","210 x 297mm | 505g","28 Jul 2016","Helion &amp; Company",,"Solihull United Kingdom",English,,,"8 pages colour photos c 100 b/w photos maps",190938464X,9781909384644,638998
"Paperback | 224 pages","153 x 234mm | 454g","06 Oct 2016","Bloomsbury Publishing PLC",,"London United Kingdom",English,,,"Approx 10-20 b&amp;w photographs",1472905504,9781472905505,1095148
"Paperback | 148 pages",,"17 Jun 1981","Kluwer Law International",,"Zuidpoolsingel Netherlands",English,,,,9065440054,9789065440051,
"Paperback | 148 pages",,"17 Jun 1981","Kluwer Law International",,"Zuidpoolsingel Netherlands",English,,,,9065440054,9789065440051,
"Hardback | 148 pages",,"01 Nov 1981","Kluwer Fiscale en FinancieleThe Netherlands",,Netherlands,English,,,,9020006290,9789020006292,
"Hardback | 148 pages",,"01 Nov 1981","Kluwer Fiscale en FinancieleThe Netherlands",,Netherlands,English,,,,9020006290,9789020006292,
"Paperback | 288 pages","140 x 220mm","01 Apr 1983","Marion Boyars Publishers Ltd",,"London United Kingdom",English,,,,071452722X,9780714527222,
"Paperback | 288 pages","140 x 220mm","01 Apr 1983","Marion Boyars Publishers Ltd",,"London United Kingdom",English,,,,071452722X,9780714527222,
"Hardback | 640 pages",,"18 Aug 2016","Bloomsbury Publishing PLC","Continuum International Publishing Group Ltd.","London United Kingdom",English,,,,0567031594,9780567031594,1842566
"Paperback | 127 pages",,"20 Dec 2002","European Agency for Safety and Health at Work",,"Bilbao Spain",English,,,figs.tabs.,9291910090,9789291910090,
"Hardback | 640 pages",,"18 Aug 2016","Bloomsbury Publishing PLC","Continuum International Publishing Group Ltd.","London United Kingdom",English,,,,0567031594,9780567031594,1842566
"Paperback | 127 pages",,"20 Dec 2002","European Agency for Safety and Health at Work",,"Bilbao Spain",English,,,figs.tabs.,9291910090,9789291910090,
"Paperback | 180 pages",,"30 Apr 2002","SPIE Press",,"Bellingham United States",English,,,,0819443530,9780819443533,
"Hardback | 669 pages","155 x 235mm","24 Jul 2016","Springer International Publishing AG",,"Cham Switzerland",English,,"2017 ed.","19 black &amp; white illustrations 149 colour illustrations biography",3319015826,9783319015828,
"Paperback | 180 pages",,"30 Apr 2002","SPIE Press",,"Bellingham United States",English,,,,0819443530,9780819443533,
"Paperback | 72 pages","210 x 297mm | 505g","28 Jul 2016","Helion &amp; Company",,"Solihull United Kingdom",English,,,"8 pages colour photos c 100 b/w photos maps",190938464X,9781909384644,638998
"Paperback | 224 pages","153 x 234mm | 454g","06 Oct 2016","Bloomsbury Publishing PLC",,"London United Kingdom",English,,,"Approx 10-20 b&amp;w photographs",1472905504,9781472905505,1095148
"Hardback | 334 pages","152 x 229mm | 788g","11 Jul 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,"5 black &amp; white illustrations 25 black &amp; white tables 5 black &amp; white line drawings",0415727871,9780415727877,
"Paperback | 496 pages","178 x 232mm | 1000g","30 Mar 2017","Pearson Education (US)","Addison-Wesley Educational Publishers Inc","New Jersey United States",English,,,,0133521761,9780133521764,
"Hardback | 669 pages","155 x 235mm","24 Jul 2016","Springer International Publishing AG",,"Cham Switzerland",English,,"2017 ed.","19 black &amp; white illustrations 149 colour illustrations biography",3319015826,9783319015828,
"Paperback | 72 pages","210 x 297mm | 505g","28 Jul 2016","Helion &amp; Company",,"Solihull United Kingdom",English,,,"8 pages colour photos c 100 b/w photos maps",190938464X,9781909384644,638998
"Paperback | 192 pages","140 x 220mm","01 Feb 1980","Monthly Review PressU.S.",,"New York United States",English,,,,0853455090,9780853455097,
"Hardback | 7 pages","156 x 234mm","28 Jul 2012","Ashgate Publishing Group","Ashgate Publishing Limited","Aldershot United Kingdom",English,"New edition","New edition",,0754637948,9780754637943,
"Paperback | 224 pages","153 x 234mm | 454g","06 Oct 2016","Bloomsbury Publishing PLC",,"London United Kingdom",English,,,"Approx 10-20 b&amp;w photographs",1472905504,9781472905505,1095148
"Hardback | 194 pages",,"31 Dec 1995","Plenum Publishing Corporation",,"New York United States",English,,,"35 black &amp; white illustrations biography",0306303922,9780306303920,
"Hardback | 334 pages","152 x 229mm | 788g","11 Jul 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,"5 black &amp; white illustrations 25 black &amp; white tables 5 black &amp; white line drawings",0415727871,9780415727877,
"Paperback | 496 pages","178 x 232mm | 1000g","30 Mar 2017","Pearson Education (US)","Addison-Wesley Educational Publishers Inc","New Jersey United States",English,,,,0133521761,9780133521764,
"Paperback | 176 pages","150 x 230mm","01 Dec 1979","International Labour Office",,"Geneva Switzerland",English,,,tabs.,9221021718,9789221021711,
"Paperback | 192 pages","140 x 220mm","01 Feb 1980","Monthly Review PressU.S.",,"New York United States",English,,,,0853455090,9780853455097,
"Hardback | 7 pages","156 x 234mm","28 Jul 2012","Ashgate Publishing Group","Ashgate Publishing Limited","Aldershot United Kingdom",English,"New edition","New edition",,0754637948,9780754637943,
"Hardback | 617 pages",,"31 Dec 1999","Springer-Verlag Berlin and Heidelberg GmbH &amp; Co. KG","Springer-Verlag Berlin and Heidelberg GmbH &amp; Co. K","Berlin Germany","English German",,4th,"black &amp; white tables bibliography",354064508X,9783540645085,
"Hardback | 368 pages",,"04 Dec 2002","Steinkopff Darmstadt",,"Darmstadt Germany",German,,,,3798513392,9783798513396,
"Hardback | 194 pages",,"31 Dec 1995","Plenum Publishing Corporation",,"New York United States",English,,,"35 black &amp; white illustrations biography",0306303922,9780306303920,
"Paperback | 350 pages",,"31 May 2014","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,,9814578088,9789814578080,
"Paperback | 176 pages","150 x 230mm","01 Dec 1979","International Labour Office",,"Geneva Switzerland",English,,,tabs.,9221021718,9789221021711,
"Paperback | 148 pages",,"17 Jun 1981","Kluwer Law International",,"Zuidpoolsingel Netherlands",English,,,,9065440054,9789065440051,
"Hardback | 617 pages",,"31 Dec 1999","Springer-Verlag Berlin and Heidelberg GmbH &amp; Co. KG","Springer-Verlag Berlin and Heidelberg GmbH &amp; Co. K","Berlin Germany","English German",,4th,"black &amp; white tables bibliography",354064508X,9783540645085,
"Hardback | 288 pages","156 x 234mm | 788g","01 Dec 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,"10 black &amp; white tables 10 black &amp; white line drawings",1138782262,9781138782266,
"Hardback | 278 pages",,"07 Jul 1982","Kluwer Law International",,"Zuidpoolsingel Netherlands",English,,,,9065440240,9789065440242,
"Hardback | 368 pages",,"04 Dec 2002","Steinkopff Darmstadt",,"Darmstadt Germany",German,,,,3798513392,9783798513396,
"Hardback | 148 pages",,"01 Nov 1981","Kluwer Fiscale en FinancieleThe Netherlands",,Netherlands,English,,,,9020006290,9789020006292,
"Paperback | 350 pages",,"31 May 2014","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,,9814578088,9789814578080,
"Paperback | 208 pages","150 x 250mm | 505g","06 Aug 2016","John Wiley and Sons Ltd","John Wiley &amp; Sons Ltd","Chichester United Kingdom",English,,,,0470524707,9780470524701,
"Paperback | 288 pages","140 x 220mm","01 Apr 1983","Marion Boyars Publishers Ltd",,"London United Kingdom",English,,,,071452722X,9780714527222,
"Hardback | 288 pages","156 x 234mm | 788g","01 Dec 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,"10 black &amp; white tables 10 black &amp; white line drawings",1138782262,9781138782266,
